ProjectName,Developer,Architect,SE_or_OPEN,Units,Metro,Stage,SourceReport,Confidence
Simone Little Italy (1401 Union St),Trammell Crow Residential,JWDA,KOR,395,SD,DELIVERED (2024 ACI award),sd-ecosystem-deep,HIGH
6th & Olive,Greystar,JWDA,KOR,,SD,DELIVERED,sd-ecosystem-deep,HIGH
800 Broadway,CA Ventures,JWDA,KOR,389,SD,DELIVERED 2025,sd-ecosystem-deep,HIGH
The Lindley,Toll Brothers / PGIM,JWDA,OPEN (KOR unconfirmed — SE not publicly stated),422,SD,DELIVERED Mar 2025,sd-ecosystem-deep,HIGH
6th & Palm (Bankers Hill),Greystar / Ascentris / Palm Properties,JWDA,OPEN (likely KOR — verify via permit),214,SD,Under construction ~2028,sd-ecosystem-deep,HIGH
Accolade Campanile (SDSU),Greystar / Kanden / Tokyo Tatemono,JWDA,OPEN,310,SD,Under construction ~2028,sd-ecosystem-deep,HIGH
Amara Bay (Chula Vista Bayfront),Pacifica Companies,AVRP Studios,OPEN — SE not awarded,1500,SD,Public improvements groundbreaking; 7 towers SE TBD,sd-ecosystem-deep,HIGH
The Becker (Riverwalk),Wakeland Housing,MVE + Partners,OPEN,190,SD,Under construction ~2027,sd-ecosystem-deep,HIGH
Midway Rising,Zephyr / Chelsea / Legends / Kroenke,Safdie Rabines,OPEN (BWE rumored),4000,SD,Planning approved Sept 2025; pre-construction,sd-ecosystem-deep,HIGH
Bayview,Zephyr Partners,Safdie Rabines,OPEN,,SD,Pre-design / early SD,sd-ecosystem-deep,HIGH
11th & Broadway,Pinnacle International,Martinez + Cutri,Glotman Simpson,623,SD,Under construction (31+32-story),sd-ecosystem-deep,HIGH
First & Island,Bosa Development,TBD,OPEN,172,SD,Permits filed 2025; pre-construction,sd-ecosystem-deep,HIGH
Stella (North Park),Murfey Company,Studio E,OPEN (KOR incumbent developer),149,SD,Under construction 2025-2027,sd-ecosystem-deep,HIGH
Riverwalk Phase 1 (721 units),Hines / USAA RE,Gensler SD,Miyamoto International,721,SD,Under construction 2025-,sd-ecosystem-deep,HIGH
Riverwalk Phase 2+ ($4B 4300u total),Hines / USAA RE,Gensler SD,OPEN (14+ phases remaining),,SD,Phase 1 under way; 14+ phases remaining,sd-ecosystem-deep,HIGH
SDSU Mission Valley Chelsea,Chelsea Investment,JWDA,OPEN,126,SD,Groundbreaking May 2026,sd-ecosystem-deep,HIGH
Harrington Heights (East Village),Chelsea Investment,JWDA,Burkett & Wong,273,SD,DELIVERED Oct 2025,sd-ecosystem-deep,HIGH
The Preserve at Torrey Highlands,Cisterra Development,,KPFF (historical),450000 sqft office,SD,Active portfolio commercial,sd-ecosystem-deep,HIGH
820 Olive,Onni Group,Chris Dikeakos Architects,OPEN (unconfirmed),516,LA,DELIVERED 2019,la-ecosystem-deep,HIGH
The Beaudry (960 W 7th),Brookfield Properties,Marmol Radziner + LARGE Architecture,MKA,785,LA,DELIVERED 2023,la-ecosystem-deep,HIGH
Figueroa Eight (744 S Figueroa),Mitsui Fudosan America,Johnson Fain,OPEN,438,LA,DELIVERED 2024,la-ecosystem-deep,HIGH
Olympic + Hill (1000 S Hill),Onni Group,IBI Group (AOR),OPEN,685,LA,DELIVERED 2025,la-ecosystem-deep,HIGH
Alloy (520 S Mateo Arts District),Carmel Partners,WPA / SCB,WSP,475,LA,DELIVERED 2024/2025,la-ecosystem-deep,HIGH
LA City Center (11th+Figueroa),Hazens Group,Gensler,Saiful Bouquet,0,LA,Active (peer review approved; hotel+resi),la-ecosystem-deep,HIGH
One Beverly Hills,Crescent Heights (partnership),Norman Foster / Rios / Kerry Hill,Saiful Bouquet,,LA,Under construction (26+32-story),la-ecosystem-deep,HIGH
Habitat (3401 S La Cienega),Lendlease + Aware Super,SHoP Architects,OPEN,,LA,DELIVERED 2026,la-ecosystem-deep,HIGH
Century City Center,JMB Realty,Johnson Fain,Nabih Youssef,,LA,Topped out (37fl office),la-ecosystem-deep,HIGH
Onni DTLA 60-story,Onni Group,TBD,OPEN,780,LA,$240M loan secured Aug 2024; entitlement,la-ecosystem-deep,HIGH
Onni Mid-Wilshire (708 Cloverdale),Onni Group,,OPEN,419,LA,Proposed 45fl,la-ecosystem-deep,HIGH
Crescent Heights 11th+Olive,Crescent Heights,ODA (New York),OPEN,800,LA,Proposed 70fl,la-ecosystem-deep,HIGH
District NoHo (North Hollywood Station),Trammell Crow / High Street Residential,HKS + Gensler + KFA + RELM,OPEN,1481,LA,Final approval 2024; construction pending,la-ecosystem-deep,HIGH
Hartford Apartments (Westlake),Intergulf Development Group,,OPEN (SE not disclosed),218,LA,DELIVERED 2024,la-ecosystem-deep,HIGH
The Parker,Cityview,AC Martin,Labib Funk,,LA,Active,la-ecosystem-deep,HIGH
Row at Red Hill (Santa Ana),Greystar,AO Architects,OPEN (SE not publicly credited),1100,OC,DELIVERED Aug 2024,oc-ecosystem-deep;ca-woodframe-masstimber-map,HIGH
Bolsa Pacific (Westminster),Shopoff Realty,AO,OPEN,2250,OC,Groundbreaking April 2026,oc-ecosystem-deep,HIGH
Related Bristol (Santa Ana),Related California,RAMSA + Elkus Manfredi + RIOS,OPEN,3750,OC,Phase 1 structural procurement begins 2026,oc-ecosystem-deep,HIGH
Related Big Newport (twin towers),Related California,OPEN,OPEN,150,OC,Planning approved Mar 2026 (22-story condos),oc-ecosystem-deep,HIGH
OC Vibe Residential Phase III,H&S Ventures (Samueli),MVE + Partners,OPEN (procurement ~2027),1960,OC,Phase I entertainment/office under construction; resi ~2029,oc-ecosystem-deep,HIGH
Ritz-Carlton Residences Newport Beach,Lyon Living / Eagle Four Partners,MVE + Partners,Glotman Simpson,159,OC,Pre-construction / under way 2026 (22-story),oc-ecosystem-deep,HIGH
Jefferson Stadium Park Anaheim,JPI,AO,OPEN (PBA closed — successor TBD),1079,OC,Under construction 2024,oc-ecosystem-deep,HIGH
Avalon Aliso Viejo Town Center,AvalonBay Communities,TCA + C2 Collaborative,OPEN,362,OC,Groundbreaking targeted 2025,oc-ecosystem-deep,HIGH
Hive Live (Costa Mesa),Legacy Partners,AO,OPEN,1050,OC,Early design; Gold Nugget Grand Award 2025,oc-ecosystem-deep,HIGH
Euclid+Heil (Fountain Valley),Shopoff Realty,AO,OPEN,606,OC,Entitlement Jul 2025,oc-ecosystem-deep,HIGH
The Carina at MainPlace,Affinius Capital,OPEN,OPEN,408,OC,Under construction; completion Oct 2028,oc-ecosystem-deep,HIGH
Rafferty (Santa Ana),Toll Brothers Apartment Living,MVE + Partners,Englekirk/WSP,218,OC,DELIVERED Jul 2024,oc-ecosystem-deep,HIGH
Village Santa Ana,Hines + C.J. Segerstrom,Gensler + RIOS,OPEN,1583,OC,Entitlement ~2025; construction 2026+,oc-ecosystem-deep,HIGH
Halcyon House (Costa Mesa),Quarterra / KTGY,KTGY,NIC Consultants,393,OC,DELIVERED 2024,oc-ecosystem-deep,HIGH
Park & Paseo Santa Ana (Broadstone Atlas),Alliance Residential,AO,OPEN,1221,OC,Phases 1+2 open; Phase 3 completing 2025,oc-ecosystem-deep,HIGH
Irvine Co. Discovery Park,,MVE (probable),OPEN,1858,OC,Pre-design,oc-ecosystem-deep,HIGH
Irvine Co. UCI Research Park,,MVE,Glotman Simpson (confirmed),1200,OC,Pre-design,oc-ecosystem-deep;ca-woodframe-masstimber-map,HIGH
Irvine Co. Newport Center Block 100,,OPEN,OPEN,700,OC,Pre-design,oc-ecosystem-deep,HIGH
