# PROPOSED 2026-09-04 - NOT YET REVIEWED BY IAN. Delete any row you reject before --commit.
# Source: tools/BdIntegrityCheck org_same_domain_shell_brand_match (tier S1): same WebsiteDomain,
# no public-sector member, no JV-shaped name, every member's name carries the domain's brand label.
# Batch 1 keeps only Kind-compatible pairs (same Kind; survivor a frozen KOR client; loser a
# Client/Unknown/Vendor/Subcontractor; or both Competitor/Architect). Cross-business-line pairs
# and frozen losers are held in docs/bd-duplicate-sweep-2026-09-04/batch2-held-back-2026-09-04.csv.
# Survivor = frozen Kind, else Deltek/Clendor anchor, else richest (people+awards+narratives+KOR
# jobs), else lowest Id. BdCanonicalDedup upgrades the survivor's Kind to the best in the pair.
# Dry run:  dotnet run --project tools/BdCanonicalDedup -- --pairs tools/BdCanonicalDedup/shell-brand-match-merge-2026-09-04.csv
# Full detail per pair: docs/bd-duplicate-sweep-2026-09-04/org_same_domain_shell_brand_match-*.csv
# Reason has no commas (the loader splits on them). RenameSurvivorTo is advisory: apply after the merge.
LoserId,SurvivorId,Reason,Reviewer,ReviewedAt,RenameSurvivorTo
77161,38934,same domain stantec.com; both names carry 'stantec'; survivor Deltek-anchored; both design consultancies (Competitor/Architect),,,
77211,38934,same domain stantec.com; both names carry 'stantec'; survivor Deltek-anchored; both design consultancies (Competitor/Architect),,,
77339,38934,same domain stantec.com; both names carry 'stantec'; survivor Deltek-anchored; same Kind,,,
77705,38934,same domain stantec.com; both names carry 'stantec'; survivor Deltek-anchored; both design consultancies (Competitor/Architect),,,
77127,18657,same domain wsp.com; both names carry 'wsp'; survivor richer (1801 vs 3 intel); same Kind,,,
77884,18657,same domain wsp.com; both names carry 'wsp'; survivor richer (1801 vs 0 intel); same Kind,,,
77133,13243,same domain pcl.com; both names carry 'pcl'; survivor richer (449 vs 6 intel); same Kind,,,
77193,13243,same domain pcl.com; both names carry 'pcl'; survivor richer (449 vs 5 intel); same Kind,,,
77342,69543,same domain morrisonhershfield.com; both names carry 'morrisonhershfield'; survivor Deltek-anchored; same Kind,,,
77351,69671,same domain ledcor.com; both names carry 'ledcor'; survivor Deltek-anchored; same Kind,,,
20061,49,same domain cressey.com; both names carry 'cressey'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
55110,202,same domain greystar.com; both names carry 'greystar'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
77635,202,same domain greystar.com; both names carry 'greystar'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
69623,12496,same domain norr.com; both names carry 'norr'; survivor Deltek-anchored; same Kind,,,
77914,12496,same domain norr.com; both names carry 'norr'; survivor Deltek-anchored; same Kind,,,
22200,218,same domain bucci.com; both names carry 'bucci'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
77343,69535,same domain exp.com; both names carry 'exp'; survivor richer (61 vs 2 intel); same Kind,,,
77153,68631,same domain gensler.com; both names carry 'gensler'; survivor Deltek-anchored; same Kind,,,
77277,68631,same domain gensler.com; both names carry 'gensler'; survivor Deltek-anchored; same Kind,,,
77324,8129,same domain gga-arch.com; both names carry 'ggaarch'; survivor Deltek-anchored; same Kind,,,
76791,68925,same domain hmcarchitects.com; both names carry 'hmcarchitects'; survivor Deltek-anchored; same Kind,,,
77131,68622,same domain henselphelps.com; both names carry 'henselphelps'; survivor richer (8 vs 8 intel); same Kind,,,Hensel Phelps
77197,68622,same domain henselphelps.com; both names carry 'henselphelps'; survivor richer (8 vs 7 intel); same Kind,,,Hensel Phelps
77230,68622,same domain henselphelps.com; both names carry 'henselphelps'; survivor richer (8 vs 6 intel); same Kind,,,Hensel Phelps
77300,68622,same domain henselphelps.com; both names carry 'henselphelps'; survivor richer (8 vs 7 intel); same Kind,,,Hensel Phelps
77226,54947,same domain turnerconstruction.com; both names carry 'turnerconstruction'; survivor Deltek-anchored; same Kind,,,
77299,54947,same domain turnerconstruction.com; both names carry 'turnerconstruction'; survivor Deltek-anchored; same Kind,,,
77306,54947,same domain turnerconstruction.com; both names carry 'turnerconstruction'; survivor Deltek-anchored; same Kind,,,
38949,167,same domain onni.com; both names carry 'onni'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
77312,167,same domain onni.com; both names carry 'onni'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
68690,73788,same domain holmes.us; both names carry 'holmes'; survivor richer (18 vs 14 intel); same Kind,,,
76795,68930,same domain lpadesignstudios.com; both names carry 'lpadesignstudios'; survivor richer (26 vs 6 intel); same Kind,,,
69649,169,same domain amacon.com; both names carry 'amacon'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
71060,169,same domain amacon.com; both names carry 'amacon'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
53900,228,same domain holborn.ca; both names carry 'holborn'; survivor frozen KOR client anchor; survivor is the frozen KOR client anchor; the loser is its own shell,,,
76014,16986,same domain thurber.ca; both names carry 'thurber'; survivor richer (27 vs 2 intel); loser Kind carries no business line (Subcontractor),,,Thurber Engineering
16944,69109,same domain thinkspace.ca; both names carry 'thinkspace'; survivor Deltek-anchored; same Kind,,,
75161,54946,same domain webcor.com; both names carry 'webcor'; survivor richer (11 vs 5 intel); same Kind,,,
75714,54946,same domain webcor.com; both names carry 'webcor'; survivor richer (11 vs 9 intel); same Kind,,,
77202,54946,same domain webcor.com; both names carry 'webcor'; survivor richer (11 vs 3 intel); same Kind,,,
77355,68773,same domain qualico.com; both names carry 'qualico'; survivor richer (22 vs 6 intel); same Kind,,,
76801,68625,same domain swinerton.com; both names carry 'swinerton'; survivor Deltek-anchored; same Kind,,,
77196,68625,same domain swinerton.com; both names carry 'swinerton'; survivor Deltek-anchored; same Kind,,,
77229,68625,same domain swinerton.com; both names carry 'swinerton'; survivor Deltek-anchored; same Kind,,,
77171,38927,same domain kpff.com; both names carry 'kpff'; survivor richer (11 vs 7 intel); same Kind,,,
77286,38927,same domain kpff.com; both names carry 'kpff'; survivor richer (11 vs 3 intel); same Kind,,,
77287,38927,same domain kpff.com; both names carry 'kpff'; survivor richer (11 vs 5 intel); same Kind,,,
75694,53589,same domain brookfieldresidential.com; both names carry 'brookfieldresidential'; survivor richer (12 vs 10 intel); same Kind,,,
77189,53589,same domain brookfieldresidential.com; both names carry 'brookfieldresidential'; survivor richer (12 vs 4 intel); same Kind,,,
77115,68630,same domain callisonrtkl.com; both names carry 'callisonrtkl'; survivor richer (21 vs 3 intel); same Kind,,,CallisonRTKL
75570,68912,same domain millerhull.com; both names carry 'millerhull'; survivor Deltek-anchored; same Kind,,,
77168,68912,same domain millerhull.com; both names carry 'millerhull'; survivor Deltek-anchored; same Kind,,,
53507,75698,same domain trumanhomes.com; both names carry 'trumanhomes'; survivor richer (15 vs 8 intel); same Kind,,,
54260,54553,same domain ciccozziarchitecture.com; both names carry 'ciccozziarchitecture'; survivor Deltek-anchored; same Kind,,,
72124,71157,same domain protostatix.com; both names carry 'protostatix'; survivor richer (10 vs 7 intel); same Kind,,,Protostatix
