"DisplayName","Kind","Metro","DefaultSE","OneLineNote","Confidence"
"Saiful Bouquet Structural Engineers","Competitor","LA;SD;OC","","~81 staff Pasadena; one of 5 largest pure SE firms SoCal; high-rise/seismic/healthcare/universities","Confirmed"
"Englekirk / WSP USA Buildings","Competitor","LA","","~69 staff post-WSP 2021 acquisition (was 90); seismic specialty; CSU system peer review; boutique culture diluted","Confirmed"
"John A. Martin & Associates (JAMA)","Competitor","LA;OC","","400+ staff; 80+ licensed SEs; largest privately-owned SE in western US; civic/sports/airport; OC Vibe Phase I non-residential SE","Confirmed"
"Brandow & Johnston (B&J HBK)","Competitor","LA","","80-yr SoCal institution; acquired by HBK 2018; 35000+ completed projects; trophy/commercial","Confirmed"
"VCA Structural Engineers","Competitor","LA;OC","","35+ years; podium/wrap specialist; 43 architect clients + 79 developer clients listed; Orange CA + Oakland HQ","Confirmed"
"MHP Structural Engineers","Competitor","LA;SD","","~40 staff Long Beach + SD; SBE/LBE certified; healthcare/K-12/civic; not multifamily volume","Confirmed"
"KPW / Salas O'Brien","Competitor","Bay","","Bay Area only; life science/data centers/healthcare; multifamily secondary post-2020 acquisition","Confirmed"
"Risha Engineering","Competitor","LA","","~25-50 staff Burbank; entertainment studios (Paramount/Warner/CBS/Universal); SBE certified; NOT multifamily","Confirmed"
"Labib Funk & Associates (LFA)","Competitor","LA;OC","","~80 engineers El Segundo; confirmed SE on Cityview/Jamison/KTGY LA projects; mid-high-rise multifamily + shoring","Confirmed"
"FBA Inc.","Competitor","Bay","","Hayward/Bay Area; co-SE on Holland/MVE Gateway Crossing; Essex Property Trust + Irvine Company + Equity Residential confirmed clients","Confirmed"
"Forell | Elsesser","Competitor","Bay","","SF est. 1960; UC Berkeley/UCSF/civic; mass timber + seismic base isolation; DLT pilot 2026; NOT developer-residential primary","Confirmed"
"Glotman Simpson","Competitor","SD;LA;OC;Bay","","Vancouver-origin; confirmed 11th+Broadway SD + Ritz-Carlton Newport OC + Orchard Residences San Jose + 843 N Spring LA (CLT office)","Confirmed"
"STRUCTUS","Competitor","Bay","","SF est. 1987; Mithun + TNDC affordable housing specialist; seismic retrofit","Confirmed"
"Buehler & Buehler","Competitor","Sacramento","","44 staff post-SSG merger; Sacramento civic/state government; healthcare/education/justice","Confirmed"
"NIC Consultants","Competitor","OC","","Newport Beach; ~6 staff $6M revenue; confirmed SE on KTGY Halcyon House Costa Mesa; small capacity","Confirmed"
"KSI Professional Engineers","Competitor","OC","","NJ-based expanding with ex-PBA staff; attempting to retain PBA's OC relationships; no confirmed OC office","Confirmed"
"Fortis Structural","Competitor","LA;Bay","","Colorado-based; confirmed SE on KTGY mixed WF/Infinity frame project; not CA-primary","Confirmed"
"SGH (Simpson Gumpertz & Heger)","Competitor","Bay","","Confirmed SE on 2128 Sand Hill Road (Sand Hill Property Company)","Confirmed"
"Element Structural Engineers","Competitor","Bay","","Oakland; affordable housing + SLEB-certified; Bay Area specialist","Confirmed"
"TMAD Taylor & Gaines","Competitor","LA","","San Bernardino/Riverside; K-12/CSU/community colleges in IE/SoCal","Confirmed"
"Trammell Crow Residential / High Street Residential","Developer","SD;LA","KOR (Simone Little Italy SD confirmed)","Confirmed KOR SE on Simone Little Italy SD (36-story 395u); District NoHo LA (1481u) also active","Confirmed"
"Toll Brothers Apartment Living (now Kennedy Wilson)","Developer","SD;OC","Englekirk/WSP (OC Rafferty)","Toll sold apartment living platform to Kennedy Wilson Q1 FY2026; The Lindley SD (37-story 422u complete Mar 2025)","Confirmed"
"Zephyr Partners","Developer","SD","","Solana Beach; Midway Rising JV (50-acre 4000u incl arena planning approved Sept 2025) + Bayview (TOD MF)","Confirmed"
"Chelsea Investment Corporation","Developer","SD;OC","Burkett+Wong (Harrington Heights JWDA affordable)","$3B+ invested since 1984; 15000+ affordable units; Harrington Heights SD (15-story 273u complete Oct 2025)","Confirmed"
"Wakeland Housing","Developer","SD","","SD affordable MF; The Becker (190u Riverwalk MVE architect under construction 2025-27) + The Joule + La Sabila","Confirmed"
"Affirmed Housing","Developer","SD","","SD affordable MF; SkyLINE (100u Rancho Bernardo) + SDUSD workforce housing proposal 2026","Confirmed"
"Mitsui Fudosan America","Developer","LA","","Figueroa Eight (42fl/438u completed 2024 Johnson Fain architect)","Confirmed"
"Jamison Properties","Developer","LA","Labib Funk (multiple confirmed)","Koreatown powerhouse; 6600+ units LA; KTGY+LFA recurring team; 800 S Western + 11600 Santa Monica","Confirmed"
"Hankey Investment Company","Developer","LA","","Koreatown/Wilshire; Kurve (25-story 490u) + 638 S Berendo (8-story TOC)","Confirmed"
"The Irvine Company","Developer","OC","","9000-unit CA pipeline; Discovery Park (1858u) + UCI Research Park (1200u) + Newport Center Block 100 (~700u) active","Confirmed"
"Shopoff Realty Investments","Developer","OC","","Bolsa Pacific Westminster (2250u SE OPEN grd Apr 2026); Euclid+Heil Fountain Valley (606u entitlement)","Confirmed"
"H&S Ventures (Samueli)","Developer","OC","JAMA (OC Vibe non-residential Phase I)","OC Vibe residential (1960-2250u Phase III ~2029 SE open); Honda Center overhaul $1.1B; Henry Samueli owner","Confirmed"
"Hines + C.J. Segerstrom","Developer","OC","","Village Santa Ana (1583u up to 25-story Gensler+RIOS architect construction 2026+)","Confirmed"
"Alliance Residential","Developer","OC","","Park+Paseo Santa Ana (1221u AO architect Phases 1+2 open); Broadstone brand","Confirmed"
"JPI","Developer","OC","","Jefferson Stadium Park Anaheim (1079u AO architect under construction 2024); national developer","Confirmed"
"Picerne Group","Developer","OC","","Newport Beach; Legado at the Met Santa Ana (270u) + Blu II Laguna Niguel (192u); TCA+WHA architects","Confirmed"
"AvalonBay Communities","Developer","OC","","Avalon Aliso Viejo Town Center (362u TCA+C2 Collaborative architect grd targeted 2025)","Confirmed"
"Legacy Partners","Developer","OC","","Foster City; Hive Live Costa Mesa (1050u AO architect early design Gold Nugget award)","Confirmed"
"Lyon Living / Eagle Four Partners","Developer","OC","Glotman Simpson (Ritz-Carlton confirmed)","Ritz-Carlton Residences Newport Beach (22-story 159u pre-construction); MVE architect","Confirmed"
"Affinius Capital","Developer","OC","","The Carina MainPlace (408u $144M loan Apr 2026 completion Oct 2028); Greystar managing","Confirmed"
"Westbank Corp","Developer","Bay","Glotman Simpson (Orchard Residences confirmed)","Vancouver origin; Orchard Residences San Jose (768u approved Dec 2025 James Cheng + Steinberg Hart architects)","Confirmed"
"Hanover Company","Developer","Bay","","Coyote Creek Village North San Jose (1140u KTGY architect SE unnamed grd 2026); national developer","Confirmed"
"Sares Regis Group of Northern California","Developer","Bay","","888 San Mateo (2 4-story WF podium) + Mountain View 203u (opened Feb 2025 Studio T Square architect)","Confirmed"
"Sand Hill Property Company","Developer","Bay","SGH (2128 Sand Hill Road confirmed)","Silicon Valley 40+ years 20M+ SF historical; Palo Alto/Menlo Park mixed-use","Confirmed"
